epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8206496238708496,0.0005000000237487257,0.5297686457633972,0.8809623718261719,0.32857516407966614
1,0.884878933429718,0.0005000000237487257,0.32262158393859863,0.8949790596961975,0.2938615679740906
2,0.8953397274017334,0.0005000000237487257,0.28591418266296387,0.8972803354263306,0.28292855620384216
3,0.9059574007987976,0.0005000000237487257,0.26106351613998413,0.8972803354263306,0.2715902328491211
4,0.9109262824058533,0.0005000000237487257,0.24472598731517792,0.9037656784057617,0.2635513246059418
5,0.9173073768615723,0.0005000000237487257,0.22898812592029572,0.9096234440803528,0.2540299892425537
6,0.9166274666786194,0.0005000000237487257,0.22203095257282257,0.9014644622802734,0.25326400995254517
7,0.9199225902557373,0.0005000000237487257,0.21171900629997253,0.9052301049232483,0.24588194489479065
8,0.9224331974983215,0.0005000000237487257,0.20672836899757385,0.9075313806533813,0.24586158990859985
9,0.9239500164985657,0.0005000000237487257,0.19777193665504456,0.9108786582946777,0.24090883135795593
